target,x,y,z,cell
QU_B_26,657,488,864,YG488
QU_B_32,657,725,828,YG725
QU_B_34,657,804,864,YG804
QU_B_36,657,883,864,YG883
QU_B_38,657,962,864,YG962
QU_B_39,657,1002,864,YG1002
QU_B_41,657,1081,864,YG1081
QU_B_42,657,1120,864,YG1120
QU_B_43,657,1160,864,YG1160
QU_B_44,657,1199,864,YG1199
QU_B_45,657,1238,828,YG1238
QU_C_25,712,449,864,AAJ449
QU_C_26,712,488,864,AAJ488
QU_C_27,712,527,828,AAJ527
QU_C_28,712,567,828,AAJ567
QU_C_29,712,606,828,AAJ606
QU_C_31,712,686,864,AAJ686
QU_C_32,712,725,864,AAJ725
QU_C_33,712,764,828,AAJ764
QU_C_34,712,804,864,AAJ804
QU_C_35,712,843,828,AAJ843
QU_C_37,712,923,864,AAJ923
QU_C_38,712,962,864,AAJ962
QU_C_39,712,1002,864,AAJ1002
QU_C_40,712,1041,864,AAJ1041
QU_C_41,712,1081,864,AAJ1081
QU_C_42,712,1120,864,AAJ1120
QU_C_43,712,1160,864,AAJ1160
QU_C_44,712,1199,864,AAJ1199
QU_C_45,712,1238,828,AAJ1238
QU_D_26,767,488,864,ACM488
QU_D_27,767,527,828,ACM527
QU_D_32,767,725,864,ACM725
QU_D_33,767,764,828,ACM764
QU_D_35,767,844,864,ACM844
QU_D_36,767,883,864,ACM883
QU_D_37,767,923,864,ACM923
QU_D_38,767,962,864,ACM962
QU_D_39,767,1002,864,ACM1002
QU_D_40,767,1041,864,ACM1041
QU_D_41,767,1081,864,ACM1081
QU_D_42,767,1120,864,ACM1120
QU_D_43,767,1160,864,ACM1160
QU_D_44,767,1199,864,ACM1199
QU_D_45,767,1238,828,ACM1238
QU_D_46,767,1278,828,ACM1278
QU_D_47,767,1317,828,ACM1317
QU_E_25,822,449,864,AEP449
QU_E_26,822,488,864,AEP488
QU_E_27,822,527,828,AEP527
QU_E_28,822,567,864,AEP567
QU_E_29,822,606,864,AEP606
QU_E_31,822,686,864,AEP686
QU_E_32,822,725,828,AEP725
QU_E_35,822,844,864,AEP844
QU_E_36,822,883,864,AEP883
QU_E_37,822,923,864,AEP923
QU_E_38,822,962,864,AEP962
QU_E_39,822,1002,864,AEP1002
QU_E_40,822,1041,864,AEP1041
QU_E_41,822,1081,864,AEP1081
QU_E_42,822,1120,864,AEP1120
QU_E_43,822,1160,864,AEP1160
QU_E_44,822,1199,864,AEP1199
QU_E_45,822,1239,864,AEP1239
